p,t,min,k
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,381.0,9119.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
1.0,5,376.0,9124.0
